nome,segmento,cidade_sede,estado_sede,investimento_min,faturamento_medio_mensal,prazo_retorno_meses,num_unidades,anos_mercado,royalties_pct,tem_selo_excelencia,coletado_em,fonte,populacao_estimada,pib_per_capita,idh,regiao,uf_sede,fonte_geo,codigo_ibge,unidades_por_ano,benchmark_segmento,crescimento_relativo,sucesso_binario,taxa_sobrevivencia_segmento,porte_investimento
Vivenda do Camarao,Alimentacao,Sao Paulo,SP,400000,120000,36,100,30,5.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,3.33,15.07,0.221,0,0.78,Médio (R$130k–R$500k)
Market4U,Alimentacao,Sao Paulo,SP,40000,11000,5,2200,6,0.0,False,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,366.67,15.07,24.331,1,0.78,Micro (até R$130k)
O Boticario,Saude_Beleza,Curitiba,PR,300000,180000,36,3700,46,2.5,True,2026-05-08,referencia_manual_abf_2024,1773000.0,48000.0,0.823,Sul,PR,referencia_embutida,,80.43,38.16,2.108,1,0.78,Médio (R$130k–R$500k)
OdontoCompany,Saude_Beleza,Sao Paulo,SP,200000,120000,30,2000,26,7.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,76.92,38.16,2.016,1,0.78,Médio (R$130k–R$500k)
Oticas Carol,Saude_Beleza,Divinopolis,MG,150000,80000,24,1450,38,5.0,True,2026-05-08,referencia_manual_abf_2024,150000.0,28000.0,0.73,Não identificada,MG,estimativa_nacional,,38.16,38.16,1.0,1,0.78,Médio (R$130k–R$500k)
Espacolaser,Saude_Beleza,Sao Paulo,SP,400000,150000,30,750,27,8.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,27.78,38.16,0.728,0,0.78,Médio (R$130k–R$500k)
Clinica da Cidade,Saude_Beleza,Brasilia,DF,800000,300000,36,130,20,5.0,False,2026-05-08,referencia_manual_abf_2024,3059000.0,62000.0,0.824,Centro-Oeste,DF,referencia_embutida,,6.5,38.16,0.17,0,0.78,Grande (acima R$500k)
Royal Face,Saude_Beleza,Sao Paulo,SP,250000,120000,24,270,7,7.0,False,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,38.57,38.16,1.011,1,0.78,Médio (R$130k–R$500k)
Farmacias Sao Joao,Saude_Beleza,Porto Alegre,RS,300000,200000,30,400,60,3.0,True,2026-05-08,referencia_manual_abf_2024,1332000.0,50000.0,0.805,Sul,RS,referencia_embutida,,6.67,38.16,0.175,0,0.78,Médio (R$130k–R$500k)
Kumon,Educacao,Sao Paulo,SP,50000,30000,18,1600,40,0.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,40.0,16.145,2.478,1,0.78,Micro (até R$130k)
Wizard,Educacao,Sao Paulo,SP,100000,40000,24,1050,35,10.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,30.0,16.145,1.858,1,0.78,Micro (até R$130k)
CCAA,Educacao,Rio de Janeiro,RJ,120000,35000,24,900,54,10.0,True,2026-05-08,referencia_manual_abf_2024,6748000.0,45000.0,0.799,Sudeste,RJ,referencia_embutida,,16.67,16.145,1.033,1,0.78,Micro (até R$130k)
Fisk,Educacao,Sao Paulo,SP,100000,30000,24,850,68,10.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,12.5,16.145,0.774,0,0.78,Micro (até R$130k)
inFlux,Educacao,Sao Paulo,SP,80000,30000,24,300,26,10.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,11.54,16.145,0.715,0,0.78,Micro (até R$130k)
Microlins,Educacao,Sao Paulo,SP,50000,20000,18,500,32,8.0,False,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,15.62,16.145,0.967,0,0.78,Micro (até R$130k)
Localiza,Servicos,Belo Horizonte,MG,500000,200000,36,700,52,6.0,True,2026-05-08,referencia_manual_abf_2024,2315000.0,38000.0,0.81,Sudeste,MG,referencia_embutida,,13.46,22.115000000000002,0.609,0,0.78,Médio (R$130k–R$500k)
Prudential,Servicos,Sao Paulo,SP,30000,15000,12,2000,65,0.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,30.77,22.115000000000002,1.391,1,0.78,Micro (até R$130k)
Seguralta,Servicos,Porto Alegre,RS,35000,18000,12,1800,28,0.0,True,2026-05-08,referencia_manual_abf_2024,1332000.0,50000.0,0.805,Sul,RS,referencia_embutida,,64.29,22.115000000000002,2.907,1,0.78,Micro (até R$130k)
Correios,Servicos,Brasilia,DF,80000,30000,24,600,360,0.0,False,2026-05-08,referencia_manual_abf_2024,3059000.0,62000.0,0.824,Centro-Oeste,DF,referencia_embutida,,1.67,22.115000000000002,0.076,0,0.78,Micro (até R$130k)
Chilli Beans,Moda,Sao Paulo,SP,200000,80000,30,800,26,5.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,30.77,7.775,3.958,1,0.75,Médio (R$130k–R$500k)
Hering Store,Moda,Blumenau,SC,300000,100000,36,550,145,4.0,True,2026-05-08,referencia_manual_abf_2024,353000.0,48000.0,0.806,Sul,SC,referencia_embutida,,3.79,7.775,0.487,0,0.75,Médio (R$130k–R$500k)
Arezzo,Moda,Belo Horizonte,MG,250000,120000,30,600,51,4.0,True,2026-05-08,referencia_manual_abf_2024,2315000.0,38000.0,0.81,Sudeste,MG,referencia_embutida,,11.76,7.775,1.513,1,0.75,Médio (R$130k–R$500k)
Dudalina,Moda,Blumenau,SC,200000,80000,30,200,65,4.0,True,2026-05-08,referencia_manual_abf_2024,353000.0,48000.0,0.806,Sul,SC,referencia_embutida,,3.08,7.775,0.396,0,0.75,Médio (R$130k–R$500k)
Colchoes Ortobom,Casa_Construcao,Maringa,PR,150000,80000,24,2500,50,3.0,True,2026-05-08,referencia_manual_abf_2024,420000.0,48000.0,0.808,Sul,PR,referencia_embutida,,50.0,20.0,2.5,1,0.78,Médio (R$130k–R$500k)
Casa do Construtor,Casa_Construcao,Cascavel,PR,499000,90000,39,760,38,4.0,True,2026-05-08,referencia_manual_abf_2024,347000.0,46000.0,0.782,Sul,PR,referencia_embutida,,20.0,20.0,1.0,1,0.78,Médio (R$130k–R$500k)
iGUi Piscinas,Casa_Construcao,Sao Paulo,SP,200000,80000,30,450,52,5.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,8.65,20.0,0.432,0,0.78,Médio (R$130k–R$500k)
Multicoisas,Casa_Construcao,Sao Paulo,SP,150000,60000,30,800,40,4.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,20.0,20.0,1.0,1,0.78,Médio (R$130k–R$500k)
Kinsol,Casa_Construcao,Fortaleza,CE,10000,20000,6,800,12,0.0,False,2026-05-08,referencia_manual_abf_2024,2428000.0,22000.0,0.754,Nordeste,CE,referencia_embutida,,66.67,20.0,3.334,1,0.78,Micro (até R$130k)
AcquaZero,Servicos_Automotivos,Sao Paulo,SP,80000,35000,18,630,16,6.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,39.38,20.0,1.969,1,0.78,Micro (até R$130k)
Car System,Servicos_Automotivos,Sao Paulo,SP,100000,45000,24,450,28,7.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,16.07,20.0,0.804,0,0.78,Micro (até R$130k)
Lubrax+,Servicos_Automotivos,Rio de Janeiro,RJ,150000,60000,24,400,20,4.0,True,2026-05-08,referencia_manual_abf_2024,6748000.0,45000.0,0.799,Sudeste,RJ,referencia_embutida,,20.0,20.0,1.0,1,0.78,Médio (R$130k–R$500k)
Maria Brasileira,Limpeza,Sao Paulo,SP,41000,63000,12,500,15,8.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,33.33,33.33,1.0,1,0.78,Micro (até R$130k)
60 Minutos Lavanderia,Limpeza,Sao Paulo,SP,120000,45000,24,680,8,6.0,False,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,85.0,33.33,2.55,1,0.78,Micro (até R$130k)
Dona Help,Limpeza,Sao Paulo,SP,41000,63000,12,250,10,8.0,False,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,25.0,33.33,0.75,0,0.78,Micro (até R$130k)
CVC,Hotelaria,Santo Andre,SP,200000,80000,30,1200,51,5.0,True,2026-05-08,referencia_manual_abf_2024,716000.0,46000.0,0.815,Sudeste,SP,referencia_embutida,,23.53,20.0,1.176,1,0.78,Médio (R$130k–R$500k)
Flytour,Hotelaria,Sao Paulo,SP,100000,40000,24,150,45,6.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,3.33,20.0,0.166,0,0.78,Micro (até R$130k)
Vai Voando,Hotelaria,Sao Paulo,SP,30000,15000,12,200,10,8.0,False,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,20.0,20.0,1.0,1,0.78,Micro (até R$130k)
