nome,segmento,cidade_sede,estado_sede,investimento_min,faturamento_medio_mensal,prazo_retorno_meses,num_unidades,anos_mercado,royalties_pct,tem_selo_excelencia,coletado_em,fonte,populacao_estimada,pib_per_capita,idh,regiao,uf_sede,fonte_geo,codigo_ibge,unidades_por_ano,benchmark_segmento,crescimento_relativo,sucesso_binario,taxa_sobrevivencia_segmento,porte_investimento,segmento_cod,regiao_cod,porte_cod,pop_log,pib_norm,inv_log,retorno_norm,score_potencial,classificacao_score
Market4U,Alimentacao,Sao Paulo,SP,40000,11000,5,2200,6,0.0,False,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,366.67,15.07,24.331,1,0.78,Micro (até R$130k),0,3,1,16.327140359028927,0.62,10.596659732783579,0.2,97.0,Muito Alto
O Boticario,Saude_Beleza,Curitiba,PR,300000,180000,36,3700,46,2.5,True,2026-05-08,referencia_manual_abf_2024,1773000.0,48000.0,0.823,Sul,PR,referencia_embutida,,80.43,38.16,2.108,1,0.78,Médio (R$130k–R$500k),6,4,2,14.388184149071979,0.48,12.611541086966115,0.027777777777777776,89.0,Muito Alto
OdontoCompany,Saude_Beleza,Sao Paulo,SP,200000,120000,30,2000,26,7.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,76.92,38.16,2.016,1,0.78,Médio (R$130k–R$500k),6,3,2,16.327140359028927,0.62,12.206077645517674,0.03333333333333333,94.0,Muito Alto
Oticas Carol,Saude_Beleza,Divinopolis,MG,150000,80000,24,1450,38,5.0,True,2026-05-08,referencia_manual_abf_2024,150000.0,28000.0,0.73,Não identificada,MG,estimativa_nacional,,38.16,38.16,1.0,1,0.78,Médio (R$130k–R$500k),6,2,2,11.918397239722838,0.28,11.918397239722838,0.041666666666666664,97.0,Muito Alto
Espacolaser,Saude_Beleza,Sao Paulo,SP,400000,150000,30,750,27,8.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,27.78,38.16,0.728,0,0.78,Médio (R$130k–R$500k),6,3,2,16.327140359028927,0.62,12.899222326086994,0.03333333333333333,68.0,Alto
Clinica da Cidade,Saude_Beleza,Brasilia,DF,800000,300000,36,130,20,5.0,False,2026-05-08,referencia_manual_abf_2024,3059000.0,62000.0,0.824,Centro-Oeste,DF,referencia_embutida,,6.5,38.16,0.17,0,0.78,Grande (acima R$500k),6,0,0,14.933598950037204,0.62,13.592368256649284,0.027777777777777776,31.0,Baixo
Royal Face,Saude_Beleza,Sao Paulo,SP,250000,120000,24,270,7,7.0,False,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,38.57,38.16,1.011,1,0.78,Médio (R$130k–R$500k),6,3,2,16.327140359028927,0.62,12.429220196836383,0.041666666666666664,81.0,Muito Alto
Farmacias Sao Joao,Saude_Beleza,Porto Alegre,RS,300000,200000,30,400,60,3.0,True,2026-05-08,referencia_manual_abf_2024,1332000.0,50000.0,0.805,Sul,RS,referencia_embutida,,6.67,38.16,0.175,0,0.78,Médio (R$130k–R$500k),6,4,2,14.102192880832941,0.5,12.611541086966115,0.03333333333333333,16.0,Baixo
Kumon,Educacao,Sao Paulo,SP,50000,30000,18,1600,40,0.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,40.0,16.145,2.478,1,0.78,Micro (até R$130k),2,3,1,16.327140359028927,0.62,10.819798284210286,0.05555555555555555,84.0,Muito Alto
Wizard,Educacao,Sao Paulo,SP,100000,40000,24,1050,35,10.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,30.0,16.145,1.858,1,0.78,Micro (até R$130k),2,3,1,16.327140359028927,0.62,11.51293546492023,0.041666666666666664,87.0,Muito Alto
CCAA,Educacao,Rio de Janeiro,RJ,120000,35000,24,900,54,10.0,True,2026-05-08,referencia_manual_abf_2024,6748000.0,45000.0,0.799,Sudeste,RJ,referencia_embutida,,16.67,16.145,1.033,1,0.78,Micro (até R$130k),2,3,1,15.724756870840041,0.45,11.695255355062795,0.041666666666666664,87.0,Muito Alto
Fisk,Educacao,Sao Paulo,SP,100000,30000,24,850,68,10.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,12.5,16.145,0.774,0,0.78,Micro (até R$130k),2,3,1,16.327140359028927,0.62,11.51293546492023,0.041666666666666664,20.0,Baixo
inFlux,Educacao,Sao Paulo,SP,80000,30000,24,300,26,10.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,11.54,16.145,0.715,0,0.78,Micro (até R$130k),2,3,1,16.327140359028927,0.62,11.289794413577894,0.041666666666666664,14.0,Baixo
Microlins,Educacao,Sao Paulo,SP,50000,20000,18,500,32,8.0,False,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,15.62,16.145,0.967,0,0.78,Micro (até R$130k),2,3,1,16.327140359028927,0.62,10.819798284210286,0.05555555555555555,6.0,Baixo
Localiza,Servicos,Belo Horizonte,MG,500000,200000,36,700,52,6.0,True,2026-05-08,referencia_manual_abf_2024,2315000.0,38000.0,0.81,Sudeste,MG,referencia_embutida,,13.46,22.115,0.609,0,0.78,Médio (R$130k–R$500k),7,3,2,14.654920677467821,0.38,13.122365377402328,0.027777777777777776,78.0,Alto
Prudential,Servicos,Sao Paulo,SP,30000,15000,12,2000,65,0.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,30.77,22.115,1.391,1,0.78,Micro (até R$130k),7,3,1,16.327140359028927,0.62,10.308985993422082,0.08333333333333333,86.0,Muito Alto
Seguralta,Servicos,Porto Alegre,RS,35000,18000,12,1800,28,0.0,True,2026-05-08,referencia_manual_abf_2024,1332000.0,50000.0,0.805,Sul,RS,referencia_embutida,,64.29,22.115,2.907,1,0.78,Micro (até R$130k),7,4,1,14.102192880832941,0.5,10.463131911491967,0.08333333333333333,89.0,Muito Alto
Correios,Servicos,Brasilia,DF,80000,30000,24,600,360,0.0,False,2026-05-08,referencia_manual_abf_2024,3059000.0,62000.0,0.824,Centro-Oeste,DF,referencia_embutida,,1.67,22.115,0.076,0,0.78,Micro (até R$130k),7,0,1,14.933598950037204,0.62,11.289794413577894,0.041666666666666664,17.0,Baixo
Chilli Beans,Moda,Sao Paulo,SP,200000,80000,30,800,26,5.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,30.77,7.775,3.958,1,0.75,Médio (R$130k–R$500k),5,3,2,16.327140359028927,0.62,12.206077645517674,0.03333333333333333,70.0,Alto
Hering Store,Moda,Blumenau,SC,300000,100000,36,550,145,4.0,True,2026-05-08,referencia_manual_abf_2024,353000.0,48000.0,0.806,Sul,SC,referencia_embutida,,3.79,7.775,0.487,0,0.75,Médio (R$130k–R$500k),5,4,2,12.77422616877261,0.48,12.611541086966115,0.027777777777777776,40.0,Baixo
Arezzo,Moda,Belo Horizonte,MG,250000,120000,30,600,51,4.0,True,2026-05-08,referencia_manual_abf_2024,2315000.0,38000.0,0.81,Sudeste,MG,referencia_embutida,,11.76,7.775,1.513,1,0.75,Médio (R$130k–R$500k),5,3,2,14.654920677467821,0.38,12.429220196836383,0.03333333333333333,82.0,Muito Alto
Dudalina,Moda,Blumenau,SC,200000,80000,30,200,65,4.0,True,2026-05-08,referencia_manual_abf_2024,353000.0,48000.0,0.806,Sul,SC,referencia_embutida,,3.08,7.775,0.396,0,0.75,Médio (R$130k–R$500k),5,4,2,12.77422616877261,0.48,12.206077645517674,0.03333333333333333,16.0,Baixo
Colchoes Ortobom,Casa_Construcao,Maringa,PR,150000,80000,24,2500,50,3.0,True,2026-05-08,referencia_manual_abf_2024,420000.0,48000.0,0.808,Sul,PR,referencia_embutida,,50.0,20.0,2.5,1,0.78,Médio (R$130k–R$500k),1,4,2,12.948012371209098,0.48,11.918397239722838,0.041666666666666664,93.0,Muito Alto
Casa do Construtor,Casa_Construcao,Cascavel,PR,499000,90000,39,760,38,4.0,True,2026-05-08,referencia_manual_abf_2024,347000.0,46000.0,0.782,Sul,PR,referencia_embutida,,20.0,20.0,1.0,1,0.78,Médio (R$130k–R$500k),1,4,2,12.757082940769225,0.46,13.120363378739663,0.02564102564102564,84.0,Muito Alto
iGUi Piscinas,Casa_Construcao,Sao Paulo,SP,200000,80000,30,450,52,5.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,8.65,20.0,0.432,0,0.78,Médio (R$130k–R$500k),1,3,2,16.327140359028927,0.62,12.206077645517674,0.03333333333333333,21.0,Baixo
Multicoisas,Casa_Construcao,Sao Paulo,SP,150000,60000,30,800,40,4.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,20.0,20.0,1.0,1,0.78,Médio (R$130k–R$500k),1,3,2,16.327140359028927,0.62,11.918397239722838,0.03333333333333333,61.0,Alto
Kinsol,Casa_Construcao,Fortaleza,CE,10000,20000,6,800,12,0.0,False,2026-05-08,referencia_manual_abf_2024,2428000.0,22000.0,0.754,Nordeste,CE,referencia_embutida,,66.67,20.0,3.334,1,0.78,Micro (até R$130k),1,1,1,14.702578843023055,0.22,9.210440366976517,0.16666666666666666,74.0,Alto
AcquaZero,Servicos_Automotivos,Sao Paulo,SP,80000,35000,18,630,16,6.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,39.38,20.0,1.969,1,0.78,Micro (até R$130k),8,3,1,16.327140359028927,0.62,11.289794413577894,0.05555555555555555,81.0,Muito Alto
Car System,Servicos_Automotivos,Sao Paulo,SP,100000,45000,24,450,28,7.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,16.07,20.0,0.804,0,0.78,Micro (até R$130k),8,3,1,16.327140359028927,0.62,11.51293546492023,0.041666666666666664,23.0,Baixo
Lubrax+,Servicos_Automotivos,Rio de Janeiro,RJ,150000,60000,24,400,20,4.0,True,2026-05-08,referencia_manual_abf_2024,6748000.0,45000.0,0.799,Sudeste,RJ,referencia_embutida,,20.0,20.0,1.0,1,0.78,Médio (R$130k–R$500k),8,3,2,15.724756870840041,0.45,11.918397239722838,0.041666666666666664,83.0,Muito Alto
Maria Brasileira,Limpeza,Sao Paulo,SP,41000,63000,12,500,15,8.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,33.33,33.33,1.0,1,0.78,Micro (até R$130k),4,3,1,16.327140359028927,0.62,10.62135173563291,0.08333333333333333,28.0,Baixo
60 Minutos Lavanderia,Limpeza,Sao Paulo,SP,120000,45000,24,680,8,6.0,False,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,85.0,33.33,2.55,1,0.78,Micro (até R$130k),4,3,1,16.327140359028927,0.62,11.695255355062795,0.041666666666666664,83.0,Muito Alto
Dona Help,Limpeza,Sao Paulo,SP,41000,63000,12,250,10,8.0,False,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,25.0,33.33,0.75,0,0.78,Micro (até R$130k),4,3,1,16.327140359028927,0.62,10.62135173563291,0.08333333333333333,22.0,Baixo
CVC,Hotelaria,Santo Andre,SP,200000,80000,30,1200,51,5.0,True,2026-05-08,referencia_manual_abf_2024,716000.0,46000.0,0.815,Sudeste,SP,referencia_embutida,,23.53,20.0,1.176,1,0.78,Médio (R$130k–R$500k),3,3,2,13.481436842589853,0.46,12.206077645517674,0.03333333333333333,94.0,Muito Alto
Flytour,Hotelaria,Sao Paulo,SP,100000,40000,24,150,45,6.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,3.33,20.0,0.166,0,0.78,Micro (até R$130k),3,3,1,16.327140359028927,0.62,11.51293546492023,0.041666666666666664,6.0,Baixo
Vai Voando,Hotelaria,Sao Paulo,SP,30000,15000,12,200,10,8.0,False,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,20.0,20.0,1.0,1,0.78,Micro (até R$130k),3,3,1,16.327140359028927,0.62,10.308985993422082,0.08333333333333333,70.0,Alto
